frame,ballX,ballY,speedX,speedY,accelX,accelY
0,0.8333333333333334,-0.08469536805555555,50.0,-5.163444166666666,0,-9.80665
1,1.6666666666666667,-0.17211480555555556,50.0,-5.326888333333333,0,-9.80665
2,2.5,-0.26225831250000003,50.0,-5.490332499999999,0,-9.80665
3,3.3333333333333335,-0.3551258888888889,50.0,-5.653776666666666,0,-9.80665
4,4.166666666666667,-0.45071753472222226,50.0,-5.817220833333332,0,-9.80665
5,5.0,-0.54903325,50.0,-5.980664999999998,0,-9.80665
6,5.833333333333333,-0.6500730347222222,50.0,-6.144109166666665,0,-9.80665
7,6.666666666666666,-0.7538368888888888,50.0,-6.307553333333331,0,-9.80665
8,7.499999999999999,-0.8603248124999998,50.0,-6.4709974999999975,0,-9.80665
9,8.333333333333332,-0.9695368055555553,50.0,-6.634441666666664,0,-9.80665
10,9.166666666666666,-1.0814728680555554,50.0,-6.79788583333333,0,-9.80665
11,10.0,-1.196133,50.0,-6.961329999999997,0,-9.80665
12,10.833333333333334,-1.3135172013888887,50.0,-7.124774166666663,0,-9.80665
13,11.666666666666668,-1.4336254722222221,50.0,-7.2882183333333295,0,-9.80665
14,12.500000000000002,-1.5564578125,50.0,-7.451662499999996,0,-9.80665
15,13.333333333333336,-1.682014222222222,50.0,-7.615106666666662,0,-9.80665
16,14.16666666666667,-1.8102947013888888,50.0,-7.778550833333329,0,-9.80665
17,15.000000000000004,-1.94129925,50.0,-7.941994999999995,0,-9.80665
18,15.833333333333337,-2.0750278680555554,50.0,-8.105439166666661,0,-9.80665
19,16.66666666666667,-2.2114805555555552,50.0,-8.268883333333328,0,-9.80665
20,17.500000000000004,-2.3506573124999997,50.0,-8.432327499999994,0,-9.80665
21,18.333333333333336,-2.4925581388888887,50.0,-8.59577166666666,0,-9.80665
22,19.166666666666668,-2.637183034722222,50.0,-8.759215833333327,0,-9.80665
23,20.0,-2.7845319999999996,50.0,-8.922659999999993,0,-9.80665
24,20.833333333333332,-2.934605034722222,50.0,-9.08610416666666,0,-9.80665
25,21.666666666666664,-3.0874021388888884,50.0,-9.249548333333326,0,-9.80665
26,22.499999999999996,-3.2429233124999994,50.0,-9.412992499999993,0,-9.80665
27,23.33333333333333,-3.401168555555555,50.0,-9.576436666666659,0,-9.80665
28,24.16666666666666,-3.562137868055555,50.0,-9.739880833333325,0,-9.80665
29,24.999999999999993,-3.7258312499999993,50.0,-9.903324999999992,0,-9.80665
30,25.833333333333325,-3.8922487013888882,50.0,-10.066769166666658,0,-9.80665
31,26.666666666666657,-4.061390222222221,50.0,-10.230213333333324,0,-9.80665
32,27.49999999999999,-4.233255812499999,50.0,-10.393657499999991,0,-9.80665
33,28.33333333333332,-4.4078454722222205,50.0,-10.557101666666657,0,-9.80665
34,29.166666666666654,-4.585159201388887,50.0,-10.720545833333324,0,-9.80665
35,29.999999999999986,-4.765196999999997,50.0,-10.88398999999999,0,-9.80665
36,30.833333333333318,-4.947958868055552,50.0,-11.047434166666656,0,-9.80665
37,31.66666666666665,-5.133444805555551,50.0,-11.210878333333323,0,-9.80665
38,32.499999999999986,-5.321654812499995,50.0,-11.37432249999999,0,-9.80665
39,33.33333333333332,-5.512588888888883,50.0,-11.537766666666656,0,-9.80665
40,34.16666666666666,-5.7062470347222165,50.0,-11.701210833333322,0,-9.80665
41,34.99999999999999,-5.902629249999993,50.0,-11.864654999999988,0,-9.80665
42,35.83333333333333,-6.101735534722215,50.0,-12.028099166666655,0,-9.80665
43,36.666666666666664,-6.303565888888881,50.0,-12.191543333333321,0,-9.80665
44,37.5,-6.508120312499991,50.0,-12.354987499999988,0,-9.80665
45,38.333333333333336,-6.715398805555546,50.0,-12.518431666666654,0,-9.80665
46,39.16666666666667,-6.925401368055546,50.0,-12.68187583333332,0,-9.80665
47,40.00000000000001,-7.138127999999989,50.0,-12.845319999999987,0,-9.80665
48,40.83333333333334,-7.353578701388877,50.0,-13.008764166666653,0,-9.80665
49,41.66666666666668,-7.57175347222221,50.0,-13.17220833333332,0,-9.80665
50,42.500000000000014,-7.792652312499987,50.0,-13.335652499999986,0,-9.80665
51,43.33333333333335,-8.016275222222209,50.0,-13.499096666666652,0,-9.80665
52,44.166666666666686,-8.242622201388874,50.0,-13.662540833333319,0,-9.80665
53,45.00000000000002,-8.471693249999985,50.0,-13.825984999999985,0,-9.80665
54,45.83333333333336,-8.70348836805554,50.0,-13.989429166666651,0,-9.80665
55,46.66666666666669,-8.93800755555554,50.0,-14.152873333333318,0,-9.80665
56,47.50000000000003,-9.175250812499984,50.0,-14.316317499999984,0,-9.80665
57,48.333333333333364,-9.415218138888871,50.0,-14.47976166666665,0,-9.80665
58,49.1666666666667,-9.657909534722204,50.0,-14.643205833333317,0,-9.80665
59,50.000000000000036,-9.903324999999981,50.0,-14.806649999999983,0,-9.80665
60,50.83333333333337,-10.151464534722203,50.0,-14.97009416666665,0,-9.80665
61,51.66666666666671,-10.402328138888869,50.0,-15.133538333333316,0,-9.80665
62,52.50000000000004,-10.655915812499979,50.0,-15.296982499999983,0,-9.80665
63,53.33333333333338,-10.912227555555534,50.0,-15.460426666666649,0,-9.80665
64,54.166666666666714,-11.171263368055532,50.0,-15.623870833333315,0,-9.80665
65,55.00000000000005,-11.433023249999977,50.0,-15.787314999999982,0,-9.80665
66,55.833333333333385,-11.697507201388865,50.0,-15.950759166666648,0,-9.80665
67,56.66666666666672,-11.964715222222198,50.0,-16.114203333333315,0,-9.80665
68,57.50000000000006,-12.234647312499975,50.0,-16.277647499999983,0,-9.80665
69,58.33333333333339,-12.507303472222196,50.0,-16.44109166666665,0,-9.80665
70,59.16666666666673,-12.782683701388862,50.0,-16.60453583333332,0,-9.80665
71,60.000000000000064,-13.060787999999972,50.0,-16.767979999999987,0,-9.80665
72,60.8333333333334,-13.341616368055528,50.0,-16.931424166666655,0,-9.80665
73,61.666666666666735,-13.625168805555527,50.0,-17.094868333333324,0,-9.80665
74,62.50000000000007,-13.911445312499971,50.0,-17.25831249999999,0,-9.80665
75,63.33333333333341,-14.20044588888886,50.0,-17.42175666666666,0,-9.80665
76,64.16666666666674,-14.492170534722192,50.0,-17.585200833333328,0,-9.80665
77,65.00000000000007,-14.78661924999997,50.0,-17.748644999999996,0,-9.80665
78,65.8333333333334,-15.08379203472219,50.0,-17.912089166666664,0,-9.80665
79,66.66666666666673,-15.383688888888857,50.0,-18.075533333333333,0,-9.80665
80,67.50000000000006,-15.686309812499967,50.0,-18.2389775,0,-9.80665
81,68.33333333333339,-15.991654805555523,50.0,-18.40242166666667,0,-9.80665
82,69.16666666666671,-16.299723868055526,50.0,-18.565865833333337,0,-9.80665
83,70.00000000000004,-16.610516999999973,50.0,-18.729310000000005,0,-9.80665
84,70.83333333333337,-16.924034201388864,50.0,-18.892754166666673,0,-9.80665
85,71.6666666666667,-17.240275472222198,50.0,-19.05619833333334,0,-9.80665
86,72.50000000000003,-17.559240812499976,50.0,-19.21964250000001,0,-9.80665
87,73.33333333333336,-17.8809302222222,50.0,-19.383086666666678,0,-9.80665
88,74.16666666666669,-18.20534370138887,50.0,-19.546530833333346,0,-9.80665
89,75.00000000000001,-18.532481249999982,50.0,-19.709975000000014,0,-9.80665
90,75.83333333333334,-18.86234286805554,50.0,-19.873419166666682,0,-9.80665
91,76.66666666666667,-19.19492855555554,50.0,-20.03686333333335,0,-9.80665
92,77.5,-19.530238312499986,50.0,-20.20030750000002,0,-9.80665
93,78.33333333333333,-19.868272138888877,50.0,-20.363751666666687,0,-9.80665
94,79.16666666666666,-20.20903003472221,50.0,-20.527195833333355,0,-9.80665
95,79.99999999999999,-20.55251199999999,50.0,-20.690640000000023,0,-9.80665
96,80.83333333333331,-20.898718034722215,50.0,-20.85408416666669,0,-9.80665
97,81.66666666666664,-21.247648138888884,50.0,-21.01752833333336,0,-9.80665
98,82.49999999999997,-21.599302312499997,50.0,-21.180972500000028,0,-9.80665
