frame,ballX,ballY,speedX,speedY,accelX,accelY
0,0,0,0.0,0.0,0,9.80665
1,0.0,0.0013620347222222222,0.0,0.16344416666666667,0,9.80665
2,0.0,0.005448138888888889,0.0,0.32688833333333334,0,9.80665
3,0.0,0.0122583125,0.0,0.4903325,0,9.80665
4,0.0,0.021792555555555555,0.0,0.6537766666666667,0,9.80665
5,0.0,0.03405086805555556,0.0,0.8172208333333333,0,9.80665
6,0.0,0.04903325,0.0,0.9806649999999999,0,9.80665
7,0.0,0.06673970138888889,0.0,1.1441091666666665,0,9.80665
8,0.0,0.08717022222222222,0.0,1.3075533333333331,0,9.80665
9,0.0,0.1103248125,0.0,1.4709974999999997,0,9.80665
10,0.0,0.1362034722222222,0.0,1.6344416666666663,0,9.80665
11,0.0,0.16480620138888885,0.0,1.797885833333333,0,9.80665
12,0.0,0.19613299999999995,0.0,1.9613299999999996,0,9.80665
13,0.0,0.2301838680555555,0.0,2.124774166666666,0,9.80665
14,0.0,0.2669588055555555,0.0,2.288218333333333,0,9.80665
15,0.0,0.3064578125,0.0,2.4516625,0,9.80665
16,0.0,0.3486808888888889,0.0,2.6151066666666667,0,9.80665
17,0.0,0.39362803472222224,0.0,2.7785508333333335,0,9.80665
18,0.0,0.44129925000000003,0.0,2.9419950000000004,0,9.80665
19,0.0,0.4916945347222223,0.0,3.105439166666667,0,9.80665
20,0.0,0.5448138888888889,0.0,3.268883333333334,0,9.80665
21,0.0,0.6006573125,0.0,3.432327500000001,0,9.80665
22,0.0,0.6592248055555555,0.0,3.5957716666666677,0,9.80665
23,0.0,0.7205163680555555,0.0,3.7592158333333345,0,9.80665
24,0.0,0.7845319999999999,0.0,3.9226600000000014,0,9.80665
25,0.0,0.8512717013888887,0.0,4.086104166666668,0,9.80665
26,0.0,0.9207354722222221,0.0,4.249548333333334,0,9.80665
27,0.0,0.9929233124999998,0.0,4.4129925000000005,0,9.80665
28,0.0,1.067835222222222,0.0,4.576436666666667,0,9.80665
29,0.0,1.1454712013888888,0.0,4.739880833333333,0,9.80665
30,0.0,1.22583125,0.0,4.903325,0,9.80665
31,0.0,1.3089153680555556,0.0,5.066769166666666,0,9.80665
32,0.0,1.3947235555555557,0.0,5.2302133333333325,0,9.80665
33,0.0,1.4832558125000002,0.0,5.393657499999999,0,9.80665
34,0.0,1.5745121388888892,0.0,5.557101666666665,0,9.80665
35,0.0,1.6684925347222226,0.0,5.720545833333332,0,9.80665
36,0.0,1.7651970000000003,0.0,5.883989999999998,0,9.80665
37,0.0,1.8646255347222227,0.0,6.0474341666666644,0,9.80665
38,0.0,1.9667781388888894,0.0,6.210878333333331,0,9.80665
39,0.0,2.0716548125000007,0.0,6.374322499999997,0,9.80665
40,0.0,2.179255555555556,0.0,6.537766666666664,0,9.80665
41,0.0,2.289580368055556,0.0,6.70121083333333,0,9.80665
42,0.0,2.402629250000001,0.0,6.864654999999996,0,9.80665
43,0.0,2.5184022013888896,0.0,7.028099166666663,0,9.80665
44,0.0,2.636899222222223,0.0,7.191543333333329,0,9.80665
45,0.0,2.758120312500001,0.0,7.354987499999996,0,9.80665
46,0.0,2.882065472222223,0.0,7.518431666666662,0,9.80665
47,0.0,3.0087347013888897,0.0,7.681875833333328,0,9.80665
48,0.0,3.138128000000001,0.0,7.845319999999995,0,9.80665
49,0.0,3.2702453680555563,0.0,8.008764166666662,0,9.80665
50,0.0,3.4050868055555563,0.0,8.172208333333328,0,9.80665
51,0.0,3.542652312500001,0.0,8.335652499999995,0,9.80665
52,0.0,3.6829418888888896,0.0,8.499096666666661,0,9.80665
53,0.0,3.825955534722223,0.0,8.662540833333328,0,9.80665
54,0.0,3.971693250000001,0.0,8.825984999999994,0,9.80665
55,0.0,4.120155034722223,0.0,8.98942916666666,0,9.80665
56,0.0,4.271340888888889,0.0,9.152873333333327,0,9.80665
57,0.0,4.4252508125,0.0,9.316317499999993,0,9.80665
58,0.0,4.581884805555555,0.0,9.47976166666666,0,9.80665
59,0.0,4.741242868055554,0.0,9.643205833333326,0,9.80665
60,0.0,4.903324999999998,0.0,9.806649999999992,0,9.80665
61,0.0,5.068131201388886,0.0,9.970094166666659,0,9.80665
62,0.0,5.235661472222219,0.0,10.133538333333325,0,9.80665
63,0.0,5.405915812499996,0.0,10.296982499999991,0,9.80665
64,0.0,5.578894222222218,0.0,10.460426666666658,0,9.80665
65,0.0,5.754596701388884,0.0,10.623870833333324,0,9.80665
66,0.0,5.933023249999994,0.0,10.78731499999999,0,9.80665
67,0.0,6.114173868055549,0.0,10.950759166666657,0,9.80665
68,0.0,6.298048555555549,0.0,11.114203333333323,0,9.80665
69,0.0,6.484647312499993,0.0,11.27764749999999,0,9.80665
70,0.0,6.6739701388888815,0.0,11.441091666666656,0,9.80665
71,0.0,6.866017034722214,0.0,11.604535833333323,0,9.80665
72,0.0,7.060787999999991,0.0,11.767979999999989,0,9.80665
73,0.0,7.258283034722212,0.0,11.931424166666655,0,9.80665
74,0.0,7.458502138888878,0.0,12.094868333333322,0,9.80665
75,0.0,7.661445312499989,0.0,12.258312499999988,0,9.80665
76,0.0,7.867112555555544,0.0,12.421756666666655,0,9.80665
77,0.0,8.075503868055543,0.0,12.585200833333321,0,9.80665
78,0.0,8.286619249999987,0.0,12.748644999999987,0,9.80665
79,0.0,8.500458701388876,0.0,12.912089166666654,0,9.80665
80,0.0,8.717022222222209,0.0,13.07553333333332,0,9.80665
81,0.0,8.936309812499985,0.0,13.238977499999987,0,9.80665
82,0.0,9.158321472222207,0.0,13.402421666666653,0,9.80665
